Distancia
16.5
34.8
20.7
6.2
4.4
3.4
24
24
32
30
33
27
15
9.4
2.1
34
24
12
4.4
28
31.4
21.6
3.1
4.5
5.1
4
3.2
25
4.5
20
34
12
12
12
12
5
19
30
5.5
38
25
3.7
9
30
13
30
30
26
30
30
1
26
22
10
9.7
11
24.1
33
17.2
27
24
27
21
28
30
4
46
29
3.7
2.7
8.1
19
16
